product_id,field,state,value,reason,method,review_status,physical_pages,source_sha256
product:B33FD,heightIn,known,34.5,,text,unreviewed,51,18424d5f3fc49f84d7a5095bc6d2a169a8d417a16e5d9ca1ee8fd7db1c2bc530
product:B33FD,manufacturerCategory,known,Base Cabinets,,text,unreviewed,51,18424d5f3fc49f84d7a5095bc6d2a169a8d417a16e5d9ca1ee8fd7db1c2bc530
product:B33FD,normalizedCategory,known,base_cabinet,,derived,unreviewed,51,18424d5f3fc49f84d7a5095bc6d2a169a8d417a16e5d9ca1ee8fd7db1c2bc530
product:B33FD,sku,known,B33FD,,text,unreviewed,51,18424d5f3fc49f84d7a5095bc6d2a169a8d417a16e5d9ca1ee8fd7db1c2bc530
product:B33FD,widthIn,known,33,,derived,unreviewed,51,18424d5f3fc49f84d7a5095bc6d2a169a8d417a16e5d9ca1ee8fd7db1c2bc530
product:B33SDF,depthIn,known,24,,text,unreviewed,52,18424d5f3fc49f84d7a5095bc6d2a169a8d417a16e5d9ca1ee8fd7db1c2bc530
product:B33SDF,heightIn,known,34.5,,text,unreviewed,52,18424d5f3fc49f84d7a5095bc6d2a169a8d417a16e5d9ca1ee8fd7db1c2bc530
product:B33SDF,manufacturerCategory,known,Base Cabinets,,text,unreviewed,52,18424d5f3fc49f84d7a5095bc6d2a169a8d417a16e5d9ca1ee8fd7db1c2bc530
product:B33SDF,normalizedCategory,known,base_cabinet,,derived,unreviewed,52,18424d5f3fc49f84d7a5095bc6d2a169a8d417a16e5d9ca1ee8fd7db1c2bc530
product:B33SDF,sku,known,B33SDF,,text,unreviewed,52,18424d5f3fc49f84d7a5095bc6d2a169a8d417a16e5d9ca1ee8fd7db1c2bc530
product:B33SDF,widthIn,known,33,,derived,unreviewed,52,18424d5f3fc49f84d7a5095bc6d2a169a8d417a16e5d9ca1ee8fd7db1c2bc530
product:B36,depthIn,known,24,,text,unreviewed,52,18424d5f3fc49f84d7a5095bc6d2a169a8d417a16e5d9ca1ee8fd7db1c2bc530
product:B36,heightIn,known,34.5,,text,unreviewed,52,18424d5f3fc49f84d7a5095bc6d2a169a8d417a16e5d9ca1ee8fd7db1c2bc530
product:B36,manufacturerCategory,known,Base Cabinets,,text,unreviewed,52,18424d5f3fc49f84d7a5095bc6d2a169a8d417a16e5d9ca1ee8fd7db1c2bc530
